time_s,x_m,y_m,z_m
0.0,-0.656,16.33,1.73
0.0006666666666666666,-0.6541624629315145,16.3017043855473,1.72837167962555
0.0013333333333333333,-0.6523264483778084,16.273408771094605,1.726741950298265
0.002,-0.650491956338882,16.245113156641906,1.7251108120181458
0.0026666666666666666,-0.6486589868147351,16.21681754218921,1.7234782647851914
0.003333333333333333,-0.6468275398053678,16.188521927736513,1.7218443085994026
0.004,-0.6449976153107799,16.160226313283818,1.720208943460779
0.004666666666666667,-0.6431692133309718,16.13193069883112,1.7185721693693208
0.005333333333333334,-0.641342333865943,16.103635084378425,1.7169339863250277
0.006000000000000001,-0.6395169769156938,16.075339469925726,1.7152943943279
0.006666666666666668,-0.6376931424802241,16.04704385547303,1.7136533933779377
0.007333333333333335,-0.6358708305595342,16.018748241020333,1.7120109834751405
0.008000000000000002,-0.6340500411536236,15.990452626567636,1.7103671646195087
0.008666666666666668,-0.6322307742624925,15.96215701211494,1.708721936811042
0.009333333333333334,-0.6304130298861411,15.933861397662243,1.7070753000497407
0.01,-0.6285968080245693,15.905565783209546,1.7054272543356048
0.010666666666666666,-0.626782108677777,15.87727016875685,1.7037777996686343
0.011333333333333332,-0.6249689318457641,15.848974554304153,1.7021269360488287
0.011999999999999999,-0.6231572775285308,15.820678939851456,1.700474663476189
0.012666666666666665,-0.6213471457260772,15.79238332539876,1.6988209819507138
0.01333333333333333,-0.619538536438403,15.764087710946063,1.6971658914724046
0.013999999999999997,-0.6177314496655083,15.735792096493366,1.6955093920412605
0.014666666666666663,-0.6159258854073932,15.70749648204067,1.6938514836572813
0.015333333333333329,-0.6141218436640578,15.679200867587973,1.6921921663204678
0.015999999999999997,-0.6123193244355019,15.650905253135276,1.6905314400308193
0.016666666666666663,-0.6105183277217253,15.62260963868258,1.6888693047883365
0.01733333333333333,-0.6087188535227285,15.594314024229881,1.6872057605930189
0.017999999999999995,-0.6069209018385112,15.566018409777184,1.6855408074448663
0.01866666666666666,-0.6051244726690733,15.537722795324488,1.6838744453438792
0.019333333333333327,-0.6033295660144151,15.509427180871791,1.6822066742900572
0.019999999999999993,-0.6015361818745364,15.481131566419094,1.6805374942834008
0.02066666666666666,-0.5997443202494372,15.452835951966398,1.6788669053239096
0.021333333333333326,-0.5979539811391177,15.424540337513701,1.6771949074115835
0.021999999999999992,-0.5961651645435776,15.396244723061004,1.675521500546423
0.022666666666666658,-0.5943778704628171,15.367949108608308,1.6738466847284275
0.023333333333333324,-0.5925920988968362,15.33965349415561,1.6721704599575975
0.02399999999999999,-0.5908078498456347,15.311357879702914,1.6704928262339327
0.024666666666666656,-0.5890251233092128,15.283062265250217,1.668813783557433
0.025333333333333322,-0.5872439192875705,15.25476665079752,1.667133331928099
0.02599999999999999,-0.5854642377807078,15.226471036344824,1.6654514713459299
0.026666666666666655,-0.5836860787886244,15.198175421892127,1.6637682018109263
0.02733333333333332,-0.5819094423113208,15.16987980743943,1.6620835233230882
0.027999999999999987,-0.5801343283487966,15.141584192986734,1.660397435882415
0.028666666666666653,-0.578360736901052,15.113288578534037,1.6587099394889073
0.02933333333333332,-0.5765886679680869,15.08499296408134,1.657021034142565
0.029999999999999985,-0.5748181215499014,15.056697349628644,1.6553307198433878
0.03066666666666665,-0.5730490976464955,15.028401735175947,1.653638996591376
0.03133333333333332,-0.5712815962578691,15.000106120723249,1.6519458643865292
0.03199999999999999,-0.5695156173840222,14.971810506270552,1.650251323228848
0.032666666666666656,-0.5677511610249549,14.943514891817856,1.648555373118332
0.033333333333333326,-0.5659882271806671,14.915219277365159,1.6468580140549813
0.033999999999999996,-0.564226815851159,14.886923662912462,1.645159246038796
0.034666666666666665,-0.5624669270364302,14.858628048459765,1.643459069069776
0.035333333333333335,-0.5607085607364811,14.830332434007069,1.6417574831479211
0.036000000000000004,-0.5589517169513115,14.802036819554372,1.6400544882732315
0.036666666666666674,-0.5571963956809214,14.773741205101675,1.6383500844457073
0.03733333333333334,-0.5554425969253108,14.745445590648977,1.6366442716653484
0.03800000000000001,-0.5536903206844799,14.71714997619628,1.6349370499321547
0.03866666666666668,-0.5519395669584286,14.688854361743584,1.6332284192461266
0.03933333333333335,-0.5501903357471567,14.660558747290887,1.6315183796072634
0.04000000000000002,-0.5484426270506644,14.63226313283819,1.6298069310155656
0.04066666666666669,-0.5466964408689515,14.603967518385494,1.6280940734710332
0.04133333333333336,-0.5449517772020184,14.575671903932797,1.6263798069736661
0.04200000000000003,-0.5432086360498647,14.547376289480098,1.624664131523464
0.0426666666666667,-0.5414670174124906,14.519080675027402,1.6229470471204275
0.04333333333333337,-0.539726921289896,14.490785060574705,1.6212285537645563
0.04400000000000004,-0.5379883476820809,14.462489446122008,1.6195086514558503
0.04466666666666671,-0.5362512965890454,14.434193831669312,1.6177873401943097
0.04533333333333338,-0.5345157680107895,14.405898217216615,1.616064619979934
0.04600000000000005,-0.532781761947313,14.377602602763918,1.6143404908127241
0.04666666666666672,-0.5310492783986163,14.34930698831122,1.6126149526926792
0.04733333333333339,-0.5293183173646989,14.321011373858523,1.6108880056197996
0.048000000000000057,-0.5275888788455612,14.292715759405827,1.6091596495940856
0.048666666666666726,-0.5258609628412029,14.26442014495313,1.6074298846155364
0.049333333333333396,-0.5241345693516243,14.236124530500433,1.605698710684153
0.050000000000000065,-0.5224096983768252,14.207828916047736,1.6039661277999344
0.050666666666666735,-0.5206863499168056,14.17953330159504,1.6022321359628815
0.051333333333333404,-0.5189645239715656,14.151237687142341,1.6004967351729935
