time_s,x_m,y_m,z_m,horizontal_angle_deg,vertical_angle_deg,magnification,distance_m
0.13923923923923925,-0.6165000308423847,11.286197616045964,1.6171156140705731,1.338728130857868,-0.26204705266146383,0.0031990533103747505,11.4408846771336
0.1398898898898899,-0.6156590092492931,11.262905949848937,1.6162397175637673,1.3459343461320525,-0.26601271682397315,0.0032055719739520513,11.41761916357067
0.14054054054054055,-0.6148150311522992,11.23961825811802,1.615359813471538,1.3531532348610038,-0.2700147958059362,0.0032121161616470713,11.39435753818837
0.1411911911911912,-0.6139680975149925,11.216334539980894,1.6144759024278748,1.36038487286253,-0.27405350578944215,0.0032186860233155714,11.371099801246942
0.14184184184184184,-0.6131182093005528,11.19305479456572,1.6135879850665367,1.3676293365504242,-0.27812906465545384,0.003225281709984018,11.347845953022615
0.1424924924924925,-0.6122653674717504,11.169779021001121,1.6126960620210524,1.3748867029402914,-0.28224169200048677,0.0032319033738610046,11.324595993807725
0.14314314314314314,-0.6114095729909453,11.146507218416197,1.6118001339247192,1.3821570496554767,-0.28639160915349854,0.003238551168348783,11.301349923910877
0.14379379379379378,-0.6105508268200884,11.123239385940522,1.6109002014106049,1.3894404549330963,-0.29057903919295797,0.0032452252480549386,11.27810774365712
0.14444444444444446,-0.6096891299207203,11.09997552270413,1.6099962651115456,1.3967369976301436,-0.2948042069641372,0.0032519257688042123,11.254869453388057
0.1450950950950951,-0.6088244832539721,11.076715627837535,1.6090883256601474,1.4040467572295454,-0.29906733909659294,0.003258652887650438,11.231635053462053
0.14574574574574575,-0.6079568877805652,11.053459700471722,1.6081763836887852,1.4113698138464714,-0.30336866402186263,0.0032654067628886444,11.20840454425436
0.1463963963963964,-0.607086344460811,11.030207739738138,1.6072604398296042,1.4187062482346453,-0.30770841199136534,0.0032721875540672836,11.185177926157293
0.14704704704704705,-0.6062128542546116,11.006959744768716,1.6063404947145181,1.4260561417926547,-0.31208681509452474,0.003278995422000608,11.161955199580396
0.1476976976976977,-0.6053364181214587,10.983715714695844,1.6054165489752101,1.4334195765704134,-0.31650410727710054,0.003285830528781201,11.138736364950592
0.14834834834834834,-0.6044570370204349,10.960475648652391,1.6044886032431334,1.4407966352757526,-0.32096052435973876,0.003292693037792642,11.115521422712375
0.14899899899899902,-0.6035747119102124,10.937239545771694,1.6035566581495095,1.4481874012809846,-0.3254563040567537,0.003299583113722335,11.092310373327953
0.14964964964964966,-0.6026894437490544,10.914007405187562,1.6026207143253302,1.4555919586295187,-0.32999168599512313,0.0033065009225744786,11.069103217277444
0.1503003003003003,-0.6018012334948137,10.890779226034274,1.6016807724013564,1.463010392042808,-0.3345669117337178,0.003313446631683203,11.045899955059035
0.15095095095095096,-0.6009100821049337,10.86755500744658,1.600736833008118,1.4704427869270402,-0.3391822247827694,0.003320420409725852,11.022700587189155
0.1516016016016016,-0.6000159905364479,10.8443347485597,1.5997888967759148,1.4778892293800856,-0.34383787062355625,0.0033274224267364305,10.999505114202663
0.15225225225225225,-0.5991189597459801,10.821118448509324,1.5988369643348157,1.4853498061986448,-0.3485340967283474,0.0033344528541192093,10.976313536653027
0.1529029029029029,-0.5982189906897444,10.797906106431622,1.597881036314659,1.4928246048852225,-0.3532711525805725,0.0033415118646624976,10.953125855112505
0.15355355355355355,-0.5973160843235449,10.774697721463221,1.596921113345052,1.5003137136553268,-0.3580492896952471,0.003348599632552578,10.929942070172322
0.15420420420420422,-0.5964102416027762,10.751493292741229,1.595957196055372,1.5078172214447985,-0.3628687616396395,0.0033557163333878103,10.906762182442865
0.15485485485485487,-0.5955014634824233,10.72829281940322,1.5949892850747656,1.5153352179171888,-0.36772982405419197,0.003362862144192904,10.883586192553873
0.15550550550550551,-0.594589750917061,10.705096300587245,1.594017381032148,1.5228677934711898,-0.37263273467370384,0.0033700372434333683,10.860414101154621
0.15615615615615616,-0.5936751048608546,10.681903735431819,1.593041484556205,1.5304150392481402,-0.3775777533487604,0.003377241811030129,10.837245908914127
0.1568068068068068,-0.5927575262675597,10.658715123075929,1.5920615962753906,1.53797704713971,-0.3825651420674421,0.0033844760283743337,10.814081616521328
0.15745745745745746,-0.5918370160905221,10.63553046265904,1.5910777168179289,1.545553909795737,-0.38759516497728036,0.0033917400783423264,10.790921224685302
0.1581081081081081,-0.5909135752826776,10.612349753321075,1.5900898468118128,1.5531457206318344,-0.39266808840750583,0.0033990341453108146,10.767764734135444
0.15875875875875875,-0.5899872047965526,10.589172994202443,1.5890979868848052,1.5607525738375596,-0.3977841808915504,0.0034063584151722112,10.744612145621693
0.15940940940940942,-0.5890579055842637,10.566000184444011,1.5881021376644378,1.5683745643843008,-0.4029437131898457,0.003413713075350173,10.721463459914725
0.16006006006006007,-0.5881256785975176,10.542831323187126,1.587102299778012,1.5760117880334195,-0.4081469583128881,0.003421098314815326,10.698318677806165
0.16071071071071072,-0.5871905247876112,10.519666409573603,1.5860984738525985,1.583664341344546,-0.41339419154460366,0.0034285143241011857,10.675177800108798
0.16136136136136137,-0.586252445105432,10.496505442745725,1.5850906605150372,1.591332321683873,-0.4186856904659954,0.003435961295320271,10.65204082765678
0.162012012012012,-0.5853114405014572,10.473348421846252,1.5840788603919378,1.599015827232605,-0.42402173497908635,0.003443439422180417,10.628907761305861
0.16266266266266266,-0.5843675119257548,10.450195346018408,1.583063074109679,1.6067149569954806,-0.4294026073311666,0.003450948900001293,10.605778601933599
0.1633133133133133,-0.5834206603279827,10.427046214405893,1.5820433022944087,1.6144298108094495,-0.4348285921393394,0.0034584899257311215,10.582653350439584
0.16396396396396395,-0.5824708866573891,10.403901026152875,1.5810195455720446,1.6221604893524515,-0.4402999764153751,0.0034660626979636073,10.559532007745663
0.16461461461461463,-0.5815181918628125,10.380759780403995,1.5799918045682735,1.6299070941522698,-0.4458170495908806,0.0034736674169550752,10.536414574796165
0.16526526526526528,-0.5805625768926818,10.357622476304364,1.5789600799085515,1.637669727595489,-0.45138010354278296,0.00348130428464182,10.513301052558138
0.16591591591591592,-0.5796040426950158,10.334489112999567,1.5779243722181044,1.645448492936654,-0.4569894326191344,0.003488973504657677,10.49019144202158
0.16656656656656657,-0.5786425902174238,10.311359689635655,1.5768846821219273,1.6532434943074559,-0.46264533366524807,0.0034966752823518124,10.467085744199666
0.16721721721721722,-0.5776782204071054,10.288234205359151,1.5758410102447844,1.6610548367260953,-0.4683481060501609,0.0035044098248067316,10.443983960129005
0.16786786786786786,-0.5767109342108501,10.265112659317051,1.5747933572112092,1.668882626106646,-0.47409805169343383,0.003512177340856518,10.420886090869866
